;;;Autor, Herausgeber oder Institution;Zeitschrift/Zeitung;Laufnummer;BibTeX Key;Schlagwörter;Kategorien;Titel
FALSCH;FALSCH;FALSCH;Abhalter, Ronja;Betrifft Mädchen;1;Abhalter.2019;"Medizin // medicine; Prävention // prevention; Risikofaktoren // risk factors; Sexuelle Bildung // sexuality education";"1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.1 Sexualpädagogik";Zwischen Emanzipation und Prohibition
FALSCH;FALSCH;FALSCH;Ackermann, Timo;Sozial Extra (Sozial Extra);2;Ackermann.2021;"Kinderschutz // child protection; Professionalität // professionality; Risikofaktoren // risk factors; Soziale Arbeit // Social Work";"1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.3 Kinderschutz";Risikoeinschätzungsinstrumente und professionelles Handeln im Kinderschutz
FALSCH;FALSCH;FALSCH;"Ackermann, Timo; Robin, Pierrin";Sozialmagazin;3;Ackermann.2015;"Kinder // children; Kinder- und Jugendhilfe // child welfare system; Kinderschutz // child protection; Kindeswohl // child welfare; Soziale Arbeit // Social Work";"1 Soziale Rahmung; 1.3 Medien und Technologie";Kinder im Kinderschutz
FALSCH;FALSCH;FALSCH;"Ahmad, Aisha-Nusrat; Bardehle, Doris; Andresen, Sabine; Beier, Klaus M.";;4;Ahmad.2017;"Aggression // aggression; Handbuch // handbook; Homosexualität // homosexuality; Männer // men; Medizin // medicine; Sexualität // sexuality; Sexualverhalten // sexual behaviour";8 Forschung;Sexualität von Männern
FALSCH;FALSCH;FALSCH;"Aigner, Josef Christian; Hug, Theo; Schuegraf, Martina; Tillmann, Angela";;5;Aigner.2015;"Medien // media; Pornografie // pornography; Sexualisierung // sexualisation";"1 Soziale Rahmung; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.1 Sexuelle Erfahrungen";Medialisierung und Sexualisierung
FALSCH;FALSCH;FALSCH;Aktion Jugendschutz;;6;AktionJugendschutz.2018;"Geschlecht // gender; Mädchen // girls; Sexualerziehung // sex ed";"1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.2 Jugendliche";Mädchen und Sexualität
FALSCH;FALSCH;FALSCH;"Albrecht, Maria; Lattwein, Svenja; Urban-Stahl, Ulrike";Neue Praxis;7;Albrecht.2016;"Eltern // parents; Fachberatungsstelle // specialist counselling; Familie // family; Kinderschutz // child protection; Kindeswohl // child welfare; Kommunikation // communication; Kooperation // cooperation; Pädagogik // pedagogy; Pädagogische Beziehung // pedagogical relationship; Partizipation // participation; Professionalität // professionality; Risikofaktoren // risk factors; Schutzfaktoren // protection factor; Schutzkonzept // protection concept; Weiterbildung // further education";"2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.3 Kinderschutz";Der Hausbesuch im Kontext des Schutzauftrags bei Kindeswohlgefährdung
FALSCH;FALSCH;FALSCH;"Albrecht, Maria; Lattwein, Svenja; Urban-Stahl, Ulrike";Sozial Extra (Sozial Extra);8;Albrecht.2016b;"Kinder // children; Kinderschutz // child protection; Kommunikation // communication";"2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.3 Kinderschutz";Interdisziplinäre Kooperation im Kinderschutz
FALSCH;FALSCH;FALSCH;"Alfes, Jana; Finne, Emily; Czerwinski, Fabian; Kolip, Petra";Präv Gesundheitsf (Prävention und Gesundheitsförderung);9;Alfes.2017;"Evaluation // evaluation; Forschungsergebnisse // research results; Grundschule // elementary school; Kinder // children; Konzepte, Materialien // concepts; Prävention // prevention; Quantitative Forschung // quantitative research; Sexualisierte Gewalt // sexual violence";"2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.2 Grundschule; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.5 Praxismaterialien; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 9 Förderlinie; 9.1.4 IGEL";Prävention sexualisierter Gewalt
FALSCH;FALSCH;FALSCH;"Allroggen, Marc; Gerke, Jelena; Rau, Thea; Fegert, Jörg M.";;10;Allroggen.2018;"Handlungsempfehlungen // guidelines; Kinder- und Jugendhilfe // child welfare system; Konzepte, Materialien // concepts; Schutzkonzept // protection concept; Sexualisierte Gewalt // sexual violence";"2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.5 Praxismaterialien; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 8 Forschung; 9 Förderlinie; 9.1.16 Sprich mit!";Umgang mit sexueller Gewalt in Einrichtungen für Kinder und Jugendliche
FALSCH;FALSCH;FALSCH;"Allroggen, Marc; Rau, Thea";UJ (unsere jugend);11;Allroggen.2017c;"Aufarbeitung // rehabilitation; Bedarfe // needs; Fachberatungsstelle // specialist counselling; Institutionelle Dynamiken // institutional dynamics; Jugendliche // youth; Kinder // children; Praxis // practice; Professionalität // professionality; Sexualisierte Gewalt // sexual violence";"2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2.6 Sonstige Einrichtungen";Unterstützung bei sexualisierter Gewalt. Die Bewertung von Anlaufstellen bei Erfahrungen von sexualisierter Gewalt durch Jugendliche in institutioneller Erziehung
FALSCH;FALSCH;FALSCH;Amann, Stefanie;BZgA Forum;12;Amann.2015;"Kinder // children; Prävention // prevention; Sexueller Missbrauch // sexual abuse";"3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 5 Adressat*innen; 5.1 Kinder";Trau dich!
WAHR;FALSCH;FALSCH;"Andreas Jud; Joerg M Fegert";;13;AndreasJud.2020;"Bedarfe // needs; Forschungsergebnisse // research results; Forschungsmethoden // research methods; Forschungspraxis // research practice; Forschungsstand // state of research; Kinderschutz // child protection; Sexualisierte Gewalt // sexual violence";"3 Thematischer Fokus; 3.3 Kinderschutz; 8 Forschung";Kinderschutz: Eine Bestandsaufnahme für das Saarland
FALSCH;FALSCH;FALSCH;Andresen, Sabine;Zeitschrift für Pädagogik;14;Andresen.2018;"Diskurs // discourse; Forschungsergebnisse // research results; Gewalt // violence; Pädagogik // pedagogy; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse";"2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch";Gewalt in der Erziehung als Unrecht thematisieren
FALSCH;FALSCH;FALSCH;"Andresen, Sabine; Demant, Marie Zoé";Erziehungswissenschaft;15;Andresen.2017;"Aufarbeitung // rehabilitation; Pädagogik // pedagogy; Sexualisierte Gewalt // sexual violence";"1 Soziale Rahmung; 1.1 Diskurse; 6 Gewalt; 6.4 Disclosure, Aufarbeitung; 9 Förderlinie; 9.1.11 RifA";Worin liegt die Verantwortung der Erziehungswissenschaft?
FALSCH;FALSCH;FALSCH;"Andresen, Sabine; Koch, Claus; König, Julia";;16;Andresen.2015c;"Kinder // children; Menschen mit Behinderungen // people with disabilities; Sexueller Missbrauch // sexual abuse; Sozialwissenschaften // social sciences";"1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 9 Förderlinie; 9.1.11 RifA";Vulnerable Kinder
FALSCH;FALSCH;FALSCH;"Andresen, Sabine; Künstlera, Sophie";Zeitschrift für Sexualforschung;17;Andresen.2015d;"Forschungspraxis // research practice; Kinder // children; Sexualisierte Gewalt // sexual violence; Soziale Ungleichheit // social inequality; Sozialwissenschaften // social sciences; Vulnerabilität // vulnerability";"5 Adressat*innen; 5.1 Kinder; 6 Gewalt; 6.1 Sexueller Missbrauch; 8 Forschung; 9 Förderlinie; 9.1.11 RifA";Vulnerabilität und sexuelle Gewalt in der Kindheit
FALSCH;FALSCH;FALSCH;"Andresen, Sabine; Tippelt, Rudolf";;18;Andresen.2018c;"Forschungsergebnisse // research results; Sexualisierte Gewalt // sexual violence";"6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.11 RifA";Sexuelle Gewalt in Kindheit und Jugend
FALSCH;FALSCH;FALSCH;Apel, Avichai;BZgA Forum;19;Apel.2016;"Religion // religion; Sexualerziehung // sex ed; Sexualethik // sexual ethics; Sexualität // sexuality; Sexualkultur // sexuality culture";"1 Soziale Rahmung; 1.4 Identitäten; 1.4.4 Religion; 3 Thematischer Fokus; 3.1 Sexualpädagogik";Schmirat Negia: Auf Abstand gehen
FALSCH;FALSCH;FALSCH;Apicula Verlag;;20;ApiculaVerlag.;"Grundschule // elementary school; Kinder // children; Kindertagesstätte // day-care centre; Prävention // prevention; Professionalität // professionality; Schule // school; Sexualisierte Gewalt // sexual violence";"1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.1 Kita; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 5 Adressat*innen; 5.1 Kinder";Gewalt- und Missbrauchsprävention
