			BibTeX Key	Laufnummer	Autor, Herausgeber oder Institution	Titel	Zeitschrift/Zeitung	Kategorien	Schlagwörter
1	0	0	3835	3835	Aigner, Josef Christian; Hug, Theo; Schuegraf, Martina; Tillmann, Angela	Medialisierung und Sexualisierung		1 Soziale Rahmung; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.1 Sexuelle Erfahrungen	Medien // media; Pornografie // pornography; Sexualisierung // sexualisation
1	0	0	4444	4444	Allroggen, Marc; Rau, Thea; Fegert, Jörg M.	Sexuelle Gewalt unter gleichaltrigen Kindern und Jugendlichen		5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.16 Sprich mit!	Forschungsergebnisse // research results; Peergewalt // peer violence; Sexualisierte Gewalt // sexual violence; Survey // survey
0	0	0	5016	5016	Amann, Stefanie	Trau dich!	BZgA Forum	3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 5 Adressat*innen; 5.1 Kinder	Kinder // children; Prävention // prevention; Sexueller Missbrauch // sexual abuse
1	0	0	4204	4204	Andresen, Sabine	Das Schweigen brechen		1 Soziale Rahmung; 1.1 Diskurse; 1.2 Policies; 6 Gewalt; 6.1 Sexueller Missbrauch	Disclosure // disclosure; Kindeswohl // child welfare; Sexueller Missbrauch // sexual abuse
0	0	0	4440	4440	Andresen, Sabine	Kinderschutz im Alltag		3 Thematischer Fokus; 3.3 Kinderschutz	Kinderschutz // child protection
1	0	0	628	628	Andresen, Sabine; Koch, Claus; König, Julia	Vulnerable Kinder		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 9 Förderlinie; 9.1.11 RifA	Kinder // children; Menschen mit Behinderungen // people with disabilities; Sexueller Missbrauch // sexual abuse; Sozialwissenschaften // social sciences
1	0	0	627	627	Andresen, Sabine; Künstlera, Sophie	Vulnerabilität und sexuelle Gewalt in der Kindheit	ZSexForsch (Zeitschrift für Sexualforschung)	5 Adressat*innen; 5.1 Kinder; 6 Gewalt; 6.1 Sexueller Missbrauch; 8 Forschung; 9 Förderlinie; 9.1.11 RifA	Forschungspraxis // research practice; Kinder // children; Sexualisierte Gewalt // sexual violence; Soziale Ungleichheit // social inequality; Sozialwissenschaften // social sciences; Vulnerabilität // vulnerability
0	0	0	4430	4430	Baader, Meike Sophia	Vulnerable Kinder in der Moderne in erziehungs- und emotionsgeschichtlicher Perspektive		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.3 Kinderschutz; 5 Adressat*innen; 5.1 Kinder	Geschichte // history; Kinder // children; Vulnerabilität // vulnerability
1	0	0	4188	4188	Backes, Susanne	Sexueller Missbrauch in Heimen		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Kinder- und Jugendhilfe; 6 Gewalt; 6.1 Sexueller Missbrauch	Forschungsstand // state of research; Sexualisierte Gewalt // sexual violence; Stationäre Einrichtungen // residential care
0	0	0	2543	2543	Bagattini, Alexander	Das Kindeswohl im Konflikt		3 Thematischer Fokus; 3.3 Kinderschutz; 9 Förderlinie; 9.1.7 Kindeswohl als kollektives Orientierungsmuster?	Kindeswohl // child welfare
0	0	0	3747	3747	Bänziger, Peter-Paul	Sexuelle Revolution?		1 Soziale Rahmung; 1.1 Diskurse; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung	Diskurs // discourse; Geschichte // history; Sexualität // sexuality; Sexualverhalten // sexual behaviour
1	0	0	2704	2704	Berger, Ernst	Gewalt in pädagogischen Institutionen in Österreich		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.2 Übergriff, Peergewalt	Forschungsstand // state of research; Pädagogische Einrichtung // educational facilities; Sexualisierte Gewalt // sexual violence
0	0	0	2010	2010	Bittner, Martin; Wittfeld, Meike	Transferüberlegung	Die berufsbildende Schule	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.5 IRiK	Berufsschule // professional school; Gewalt // violence; Jugendliche // youth; Lehrer*innen // Teachers; Pädagogische Beziehung // pedagogical relationship; Pädagogische Einrichtung // educational facilities; Schüler*innen // pupils; Sexueller Missbrauch // sexual abuse
1	0	0	3641	3641	Blumenthal, Sara	Sexuelle Diversität als Schamgrenze der Sexualaufklärung im Biologieunterricht!?		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung	Scham // shame; Schule // school; Sexualerziehung // sex ed; Sexuelle Vielfalt // sexual diversity
1	0	0	4260	4260	Bode, Heidrun; Heßling, Angelika	Jugendsexualität 2015		3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Sexuelle Erfahrungen	Forschungsergebnisse // research results; Jugendliche // youth; Jugendsexualität // youth sexuality; Quantitative Forschung // quantitative research; Survey // survey
